State,Total Schools,,Total Students,Student per Teacher,Students Passed,Percent Passed,Number of Females,Number of Females Passed,Percent of Females Passed,Percent Passed,Number of Blacks,Number of Blacks Passed,Percent of Blacks Passed,Percent of Blacks taking exam,Percent of blacks in the state,Blacks taking over black in state,Number of black females,Number of black females passed,Percent of Black Females Passed,Number of Hispanic,Number of Hispanic Passed,Percent of Hispanic Passed,Number of Hispanic Females,Number of Hispanic Females Passed,Percent of Hispanic Females Passed,Percent of Hispanic taking exam,Percent of Hispanic in state,Hispanic taking over hispanic in state
California,211,,4964,23.53,3761,75.77,1074,776,72.25,21.64,74,42,56.76,1.49,6.7,22.24975044,16,8,50,392,186,47.45,82,24*,29.27*,7.9,37.6,21
Texas,271,,3979,14.68,2454,61.67,910,520,57.14,22.87,132,64,48.48,3.32,11.9,27.87744904,30,14,46.66666667,751,334,44.47,178,56*,31.46*,18.87,37.6,50.2
New York,124,,1858,14.98,1278,68.78,377,216,57.29,20.29,68,23,33.82,3.66,15.2,24.07795592,19,2,10.52631579,150,53,35.33,45,10,22.22222222,8.07,17.6,45.87
Virginia,110,,1655,15.05,1074,60.37,308,207,67.21,18.61,78,22,28.21,4.71,19.9,23.68337154,16,5,31.25,90,42,46.67,9,2*,*,5.44,7.9,68.84
Maryland,112,,1629,14.54,1068,65.56,323,190,58.82,19.83,170,46,27.06,10.44,29.4,35.49608917,51,10,19.60784314,88,39,44.32,18,6*,*,5.4,8.2,65.88
New Jersey,139,,1582,11.38,1171,74.02,242,169,69.83,15.3,34,16,47.06,2.15,14.5,14.821919,7,3,42.85714286,96,50,52.08,11,2*,18.18*,6.07,17.7,34.28
Illinois,93,,1559,16.76,1083,69.47,203,130,64.04,13.02,25,10,40.00,1.6,14.9,10.76236273,4,*,*,142,56,39.44,23,5,21.73913043,9.11,15.8,57.65
Florida,103,,1521,14.77,663,43.59,306,107,34.97,20.12,83,16,19.28,5.46,15.9,34.32035362,5,1,20,269,120,44.61,47,14,29.78723404,17.69,22.5,78.6
Georgia,83,,1261,15.19,644,51.07,229,85,37.12,18.16,129,28,21.71,10.23,30,34.0999207,33,4,12.12121212,71,29,40.85,16,6,37.5,5.63,8.8,63.98
Mass,91,,1067,11.73,712,66.73,188,116,61.7,17.62,34,13,38.24,3.19,7,45.52148882,6,1,16.66666667,56,22,39.29,16,5*,31.25*,5.25,9.6,54.67
Pennsylvania,126,,883,7.01,645,73.05,106,79,74.53,12,21,14,66.67,2.38,10.8,22.02088839,3,*,*,17,11,64.71,2,*,*,1.93,5.7,33.78
Washington,41,,711,17.34,534,75.11,180,131,72.78,25.32,12,4,33.33,1.69,3.7,45.61523549,4,*,*,25,14,56,2,*,*,3.52,11.2,31.39
Ohio,61,,697,11.43,553,79.34,102,81,79.41,14.63,16,10,62.50,2.3,12,19.12960306,3,*,*,18,10,55.56,1,*,*,2.58,3.1,83.31
Michigan,48,,577,12.02,454,78.68,88,68,77.27,15.25,9,6,66.67,1.56,14.2,10.9844509,1,*,*,12,5,*,3,*,*,2.08,4.4,47.27
North Carolina,85,,551,6.48,347,62.98,63,37,58.73,11.43,28,6,21.43,5.08,21.6,23.52624857,6,2,33.33333333,22,10,*,0,0,0,3.99,8.4,47.53
Connecticut,48,,460,9.58,312,67.83,89,56,62.92,19.35,11,6,54.55,2.39,10.3,23.21654707,1,*,*,22,13,59.09,4,*,*,4.78,13.4,35.69
Indiana,32,,391,12.22,241,61.64,64,46,71.88,16.37,10,3,30.00,2.56,9.1,28.10488744,2,*,*,12,3,25,2,*,*,3.07,6,51.15
Minnesota,32,,377,11.78,268,71.09,55,40,72.73,14.59,5,2,40.00,1.33,4.6,28.83173798,2,*,*,4,*,*,1,*,*,1.06,4.7,22.57
